ID,set,question,answer,score
10,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 The advantage is that the information is fast. The disadvantage is that there is a high risk because if the user doesn't like the new system. (Advertising that moves) may affect the business.
80/20 The advantage is that the risk is lower because there are a few users that will be affected. If it is not good, the disadvantage is that it will take a long time to collect data.
Choose 80/20 because Hamtube is the number 1 famous platform in the universe, making the user with a bad experience. May have a huge impact on Hamtube's business",5.0
11,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","A/B Testing is beneficial to Ham Taro to test the advertising position for the following main reasons:
Decide with information: help Ham Taro to decide with real information from the results of the experiment. Not just guess
Reduce risk: If the new advertising position is not effective Can go back to use the same position.
Understand users: helps to understand the behavior and preference of users better.
Improve user experience: may help users to have a better experience with the platform.",5.0
12,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 proportions are highly risk due to the same as 50% of users to see New advertisement If the new unfortunate is not good The user may not like and stop using Hamtube at all and with a ratio of up to 50%, resulting in a very high risk. But with a large ratio, we can quickly know that New and old, which one is better?
While the proportion of 80/20 has a low risk because if the new model is not good Lost only 20% of the user, but because of the low ratio Causing the results to not be able to measure quickly that Which one is better? May have to be repeated by adding a ratio to the new form. To increase sure
I think Hamtube is a large platform and the purpose of using the app is not to see the advertisement. Therefore do not have to hurry to collect data Don't have to hurry to risk Should use the proportion of 80/20",5.0
13,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Ham Taro should use A/B Testing, as the use of A/B Testing will help measure the advertising position precisely. (If the proportion of spliting) by dividing the sample into 2 groups and testing",1.0
14,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree because this experiment is Bernoulli Distribution (only clicking advertisements and non -click), which each Bernoulli belongs to the user, but when combined, each person uses the IndoMend to become a binomial Distribution.",5.0
15,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?",Agree because of the advertisement is affecting the opportunity to click the advertisement.,2.0
16,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity should be the click of advertisements, extension of advertising. Because of moving If it really works better, this Granularity should also increase. (More people click)

Attribution Period should be a short time, such as 30 seconds. We based on the time of the advertisement to be about 30 seconds to see that if the user really likes to see the advertisement. Should be pressed since seeing. Therefore, Attribution Period should not take long",4.25
17,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Should be because A/B Testing allows Ham Taro to test the changes only (In this case is the position of the advertisement) by comparing with the control group that has no change.
(But must choose the Metric that will be measured appropriately, such as using the click rate as Metric according to the problem)",1.0
18,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 may give results faster But there may be risks that most viewers don't like new styles And causing all advertisements, therefore recommending 80/20 more because there is less risk And analyzed that the 80/20 made better results",5.0
19,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?",Agree because of the possibility of clicking on the advertisement. Just click or not. Click.,5.0
20,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50: The data is finished faster. But there is a higher risk Because if the new layout is much worse, there will be a lot of users that works and affects the ADS income.
80/20: Collecting data slower because the new layout that only sees 20% will have to give a lot of people to reach the top, but there is less risk because we can stop the experiment if there are some problems, both Bug or the lays themselves are not good.

80/20 is more appropriate because it affects the important Stakeholder such as people who buy ADS directly. If a mistake occurs, it will reduce the credibility in our product and the ADS buyer, causing less buyers.",5.0
21,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity -> If Ham Taro wants to check that the advertising position affects clicks from users in each area of ​​the website. Therefore, high granularity (such as the division of the web) may be a good choice. Because it will help Ham Taro to have a detailed understanding of the impact of advertising positions in all areas, but if Hamtaro chooses Granularity too high, Ham Taro may miss important information that may be a factor that affects the decision.

Attribution Period -> A short time (such as 7 days) because Ham Taro Want to know the response of the user immediately after seeing the advertisement in a new position",0.0
22,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree the reason is
1. Easy to understand
2. Results (click or not click) is binary
3. Efficiency and calculation Due to the large data",5.0
23,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","The number of users that saw the advertisement because we would test that from the total number of users that see many advertisements, clicking the Attribution Period should have a period of approximately 1 week, because if too long, it may reduce the number of clicks to reduce, but if too short may make DATA not reliable.",4.0
24,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity should be the number of users that press ADS and have a 1 day Attribution Period that selects Granularity as the number of users because it is an indicator that matches the Objective is to increase sales. And can be done easily in practice, such as attaching Google Analytics, and 1 day of Period because if it takes too short May get information that has Bias such as Branding or if too long, may be caused by the user pressing into a random",3.5
25,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 Summary of fast results in exchange for a high risk that if B is worse than A, it will lose the benefits of the A good.
80/20 Summary of the results slowly in exchange for a little risk that if B is worse than A, it will lose the benefits of the A good.
50/50 Hamtharo is too fast and can accept the risk.",5.0
26,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","The proportion of 50/50: Helps to see results quickly whether it is good or bad, but there will be a rating that is quite 80/20 that, if changed. The results are not good. May result in lower sales
The proportion of 80/20: There are quite a few Risk because for a long time to see the new change. Which if we know that it doesn't come out well Will be able to easily solve But there is a disadvantage that takes a long time to see that The new advertisement is good or bad.

For problems that are encountered The 80/20 proportion test may be a better option. Because it will help to see the trend of change faster While still maintaining work carefully But finally Observation that needs time effectively Must analyze to look reliable and fair In order to know that the new version is really good.",5.0
27,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason",Hom Taro should use A/B Testing because it will help Ham Taro to experiment with change without having a significant impact on those who use Hamtube immediately if they do not have the expected results after completion. And also clearly shows whether the change affects the click on the advertisement or not,5.0
28,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 faster but more risky because the new position advertisement may have a negative effect on customers. And also have the advantages of simple comparison because the user that saw the old position advertisement and the user that saw new advertisements Equal Resulting in information quickly
80/20 slower but there is a lower risk Does not affect the user experience very much
The 80/20 model is more suitable for this problem because there is a lower risk, even though it is slower.",5.0
29,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Agree because I want to know the movement of the advertisement to help increase sales. Is it effective compared to the original position and for such cases, using A/B Testing will be able to find conclusions?",1.0
30,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?",Do not agree due to the limitations of Binomial Distribution. If the experiment wants to analyze the results from complex data (such as the time used on the platform or user participation) Binomial Distribution may not be enough to collect such complex information.,2.0
31,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Making A/B Testing will help us say ""new"" or ""antiques"" that Hamtaro will position the advertisement. Will increase sales because of A/B Testing is the use of Statistical Hypothesis Testing to tell the statistics that the new thing Is it better?",1.0
32,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50-50

strength
- Analysis is easy because of the same sample size, less bias
- If the work is distributed according to Load Balancing, 50-50, it will not be as heavy as Weighted.
weakness
- If shooting ADS is not a website, it means that there are 50% of people who encounter this. May cause negative results, such as mouth -to -mouth
- Resource management requires more migrate resources.


For the 80-20 division, like bringing 50-50 back
strength
- Less negative results because only 20% of people will encounter change
- Mitigation is easier to save
weakness
- Statistical Power less
- bias because the little ones will not Representative.

If Hamtube has a lot of traffic and is a website that Sensitive to reputation And have enough funds to choose from 50-50 

Otherwise Just Pick 80-20 AS IS SAFER",3.0
33,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Yes, A/B Testing is An Effective Way to Evalrate The Results of Changes Between Two Options (A and B) with external variables Influencing the outcome. In the Context of a Retailer Testing The Relocation of An Advertisement, Employing A/B Testing Enables a Clear and Imediate Assessment of Wheten Impacts Sales or Not.",4.0
34,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree due to
- The data characteristics are binary (press/not press) which correspond to the use of binomiality.
- Binomial Dist can be calculated quickly. To understand the results quickly
- binomail can calculate confidence interval",5.0
35,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","Choosing 50/50 is the selection of proportions that show advertisements in a new position. Which will make the test time shorter because it can see more faster because there are more advertisements for new positions But there are important disadvantages that will have a higher risk Because if the advertising position is not good Will make the sales from high testing In the proportion of 80/2, it will result in slower tests due to the less proportion of advertising in the new position. But there will be a lower risk as well Due to the proportion of advertisements in the original position that is already aware of sales, in the problem of Hamtube's A/B Testing, the selection of 80/20 proportions should be more appropriate. Because advertisements are a source that can bring high revenue to the platform The movement of the advertisement may result in increased numbers of users. Causing sales to decrease dramatically",5.0
36,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason","Granularity = The number of times the user press advertisement. 
In order to measure whether the user is more advertising if changing the position

Attribution Period = 1 week
Consider Attribution Period, not too long to respond and adjust quickly when seeing the results.",0.0
37,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?",I agree with Hamtaro because Binomial Distribution is suitable for testing A/B with two possible results (such as clicking or not clicking) and helps to calculate the probability of the result.,5.0
38,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","strength
- Helps to compare the results of both versions precisely. Because the number of viewers who see each version are the same
Helps reduce prejudice in experiments Because all viewers have the opportunity to see both versions the same
- It takes less time to experiment than 50/50 proportions because it can get enough samples to compare results faster.
weakness
- It may take a long time to experiment Because it takes longer to get enough samples to compare results
Advantages, disadvantages of selection of proportions 80/20
- May cause the results of the experiment to be accurate Because the number of viewers who have seen each version are not the same Which may cause the results of both versions to be different

summarize
- From the advantages and disadvantages of both proportions It can be seen that the 50/50 proportion will give more accurate results. But it takes a long time to experiment with the 80/20 proportion. It takes less time to experiment. But may cause the results of the experiment to be accurate
- If Ham Taro needs the most accurate experiment Choosing a 50/50 proportion will be a better option. But if Ham Taro wants to save time in the experiment Choosing a 80/20 proportion will be a better option.
- In the case of Ham Taro, who wants to test the position changes of the advertisement Which may affect the behavior of the audience in the long run I recommend choosing 50/50 proportions to provide the most accurate and comprehensive experiment.",1.0
39,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Should use A/B Testing to test because you want to test between the position of the original advertisement and the position of the new ad. Whether the position of the advertisement affects the real sales or not, so it is appropriate to use A/B Testing",1.0
40,Q2,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more) or not. Therefore, he decided to conduct an experiment. A/B Testing. Granularity should be and how much the length of Attribution Period should be. Explain the reason",Depends on the size of the channel The risk that Hamtaro can accept,0.0
41,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 has the advantage of speed because both groups are the same size. Therefore able to collect data from both groups quickly But there is a disadvantage that there will be half of the users see the changes that occur If that change causes any problem Will cause more risks to the platform

80/20 has the advantage of having only 20% of the users to see changes, allowing to reduce the risk of any problem. From changes But the disadvantage is that it takes longer than 50/50 because the number of users that sees different changes from the number of users that use very old Therefore have to take more time to collect enough data from the users

For this problem, the 80/20 proportion should be more appropriate. Because this problem is not urgent, must be resolved And is related to sales Therefore should not cause more risks",5.0
42,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","50/50 will be able to collect all the samples faster But there is a risk that may lose more clicks from Group B as well. Compared to 20/80, which is less risky. But it takes more difficult to collect

Because the advertisement click may affect the revenue from advertising in Hamtube. And do not have to hurry to find the decision Therefore, division 80/20 is therefore more appropriate",5.0
43,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason","Agree because A/B Testing is often used for testing, with references in the first and changes. New interface By testing from the actual use of the user to test those hypothesis Which corresponds to the need to test the position of the new advertisement With the old one already and not more than the limitation of the use of A/B Test",1.0
44,Q1,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Explain the reason that Hamtaro should use A/B Testing to test or offer arguments if you do not agree. While explaining the reason",Agree that A/B Testing should be used because it is a test that the advertisement is the same or moving Which one is better?,1.0
45,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Agree because clicking or not, clicking advertisements can be performed successfully or unsuccessful (0/1)",5.0
46,Q3,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not. Therefore, he decided to conduct an experiment. A/B Testing. Hamtaro chose to use Binomial Distribution to replace the Distribution of A/B Testing. This time, you agree or disagree with hamsataro. Why?","Inappropriate because if we want to measure other results that do not use, click, such as the time used on the platform, pressing, sharing, or other binomial Distribution will not be able to answer the problem.",1.0
47,Q4,"Hamtube is a video watch online. That allows users to upload, share and watch video Hamtaro as the Hamtube marketing team leader and he wants to know that the transfer of advertising will increase sales. (Users click more advertisements) or not, so he decided to conduct an experiment. A/B Testing. Hamtaro will have to choose the proportion of the user that see the old position advertisement to the user that seem to advertise a new position. By now, Ham Taro is hesitant between 50/50 proportions and 80/20 proportions. Explain the advantages and disadvantages of each type of proportion. And answered that which type would be more suitable for this problem","The advantage of 50/50 is that Ham Taro has a user that experimented with both CASE in the same amount. Resulting in more than 80/20 But the disadvantage is Ham Taro will have more risks to do testing if the new advertising position is not successful. Here, it will choose to use 50/50 proportions because each user has a variable to press the advertising position in a very different positions. Therefore should use more samples in the experiment to get a similar value Because advertising is an important part that should be studied clearly With long -term applications",3.0
